sentiment,text
0.0,"(ياجماعة, البيع, بسعر, الجملة, كاوتش, سيارات, جميع, المقاسات, زيرو, بسعر, الجملة, نتحدى, الاسعار)"
0.0,"(هو, مش, العروض, دي, طول, شهر, رمضان, ازاااي, التوكيل, يكلمنا, و, يقولنا, ان, العرض, علي, ال, جراند, i, اخر, يوم, لية, بكرة, 😒😒😒😞😒😒😒😒)"
0.0,"(لوسمحتو, سعر, الفوليستير, كام)"
0.0,"(h, ix, بكام, واقرب, مكان, الى, ملوى, للشراء)"
0.0,"(مرسى, جدا, لللآهتمام)"
2.0,"(عرض, العيد, بكام, سعر, الفيرنا٢٠١٥)"
3.0,"(ياترى, الفيرنا, الشكل, الجديد, اللى, يختلف, تماما, عن, الشكل, الموجود, حاليا, و, اللى, تم, تداول, صورها, عبر, النت, هتنزل, مصر, وبكام, ؟)"
0.0,"(ممكن, سعر, الفئه, الثالثه, اى, اكس, بلص)"
0.0,"(هو, خصم, بتاع, شهر, رمضان, لسه, شغال, عايز, النترا, اول, فئه)"
0.0,"(هو, انا, ممكن, اعرف, اسعار, العربيه, الفيرنا, عامله, كام, ونظام, القسط, واقل, مقدم, ممكن, ادفعه, كام)"
0.0,"(سلامو, عليكم, انا, كنت, عتيز, اسأل, عن, ااربع, نقل, دوبل, كابينة, عاملة, كام, ولو, فية, قسظ, اية, الضمانات, والمقدمة, كام, وكدة, جاد, جدا)"
2.0,"(ياترى, الفيرنا, الشكل, الجديد, اللى, تم, تداول, صورها, عبر, النت, هتنزل, مصر, وبكام, ؟)"
2.0,"(ياترى, الفيرنا, الشكل, الجديد, اللى, يختلف, تماما, عن, الشكل, الموجود, حاليا, و, اللى, تم, تداول, صورها, عبر, النت, هتنزل, مصر, وبكام, ؟)"
-7.0,"(انا, ساكن, فى, قنا, وعندى, ماتركس, لما, بتحصل, مشكلة, فى, العربية, بدوخ, عشان, اجد, قطع, الغيار, فكنت, عاوز, اسأل, عن, مراكز, الصيانة, فى, الصعيد, وتكون, قريبة, من, قنا, والزاى, يمكن, الحصول, على, قطع, الغيار, لو, مفيش, مراكز, صيانة, قريبة, من, قنا)"
0.0,"(محدش, يجيب, سيرة, تكييف, هيونداي, تاني, اتعقدت, منها, خلاص, من, اول, ما, استلمت, العربية, والتكييف, بايظ, وفي, زيارة, رسمية, للصيانة, دوخوني, ٣سنين, منهم, لله, ولا, كأني, راكبة, عربية, جديدة, حاجة, تقرف)"
0.0,"(ممكن, اركب, مثبت, سرعه, للالنترا)"
0.0,"(سعر, هيونداى, اكسنت, الفئة, الموجود, بيها, abs, لوسمحت؟)"
